,Country,wine_as_share_alcohol_consumption,beer_as_share_alcohol_consumption,spirits_as_share_alcohol_consumption,tot_alcohol_consumption_per_capita_liters,gdp_per_capita,Population,percent_who_have_not_drank_alcohol_in_last_year,perc_life_no_drink,percent_who_have_drank_alcohol_in_last_year,prev_alc_use_disorders_age_10_14,prev_alc_use_disorders_age_15_19,prev_alc_use_disorders_all_ages,prev_alc_use_disorders_age_25_29,prev_alc_use_disorders_age_30_34,prev_alc_use_disorders_age_20_24,prev_alc_use_disorders_age_70+,prev_alc_use_disorders_age_15_49,prev_alc_use_disorders_age_5_14,prev_alc_use_disorders_age_50_69,prev_alc_use_disorders_age_standardized,daly_alc_use_disorders_all_ages,daly_alc_use_disorders_70+,daly_alc_use_disorders_5_14,daly_alc_use_disorders_15_49,daly_alc_use_disorders__all_ages_standardized,daly_alc_use_disorders_50_69,share_alc_use_disorders_both_sexes,share_alc_use_disorders_female,share_alc_use_disorders_male,perc_heavy_drinkers_both_sexes,perc_heavy_drinkers_female,perc_heavy_drinkers_male,perc_consume_alc_past12,perc_consume_alc_past12Female,perc_consume_alc_past12Male,Region,perc_dependent,perc_dependent_female,perc_dependent_male
153,Switzerland,48.1,32.1,18.5,11.579999923706056,68025.921875,8281735.0,18.8,7.5,81.2,0.17,2.06,2.82,4.97,4.11,5.27,1.79,3.82,0.09,2.72,2.64,345.24,276.94,7.46,418.41,291.98,443.77,9.5,3.2,16.1,43.9,25.2,59.6,81.2,73.0,89.6,Europe,4.3,1.4,7.2
154,Syria,1.1,11.6,87.2,,,,98.0,97.7,2.0,0.04,0.28,0.39,0.77,0.79,0.65,0.29,0.6,0.03,0.42,0.42,51.12,58.67,2.07,74.34,54.84,77.43,,,,,,,,,,,,,
155,Tajikistan,0.7,37.9,60.9,3.109999895095825,2984.494873046875,8524066.0,79.3,53.8,20.7,0.1,1.34,2.27,4.52,4.53,3.78,2.21,3.53,0.05,2.41,2.34,281.09,265.85,4.6,447.66,296.46,349.21,0.9,0.3,1.6,40.6,17.9,49.7,20.7,11.8,29.6,Europe,0.4,0.1,0.7
156,Tanzania,0.4,12.2,1.6,11.050000190734863,2354.138916015625,52542824.0,63.6,47.1,36.4,0.07,0.58,1.07,2.46,2.77,1.69,1.48,1.85,0.04,2.0,1.41,123.69,240.29,3.09,206.51,172.83,297.66,,,,,,,,,,,,,
157,Thailand,2.7,28.3,68.9,8.359999656677246,16285.38671875,70294408.0,59.1,34.5,40.9,0.06,0.67,1.37,2.4,2.52,1.85,0.66,1.93,0.04,1.17,1.21,168.1,79.56,3.18,235.12,143.01,159.9,5.4,0.9,10.0,38.4,17.8,49.4,40.9,27.7,54.6,South-East Asia,1.8,0.2,3.5
158,Timor,32.4,67.6,0.0,2.009999990463257,3295.3037109375,1205822.0,78.4,58.0,21.6,0.04,0.38,0.6,1.26,1.33,1.01,0.58,1.01,0.03,0.84,0.73,77.49,88.13,2.15,125.28,97.6,144.25,,,,,,,,,,,,,
159,Togo,16.0,37.0,18.2,2.369999885559082,1920.4693603515625,7473232.0,74.3,69.9,25.7,0.04,0.25,0.43,0.89,0.99,0.63,0.55,0.71,0.03,0.66,0.51,65.31,124.3,2.19,98.51,87.53,172.21,9.5,4.0,15.1,36.9,15.7,46.2,25.7,15.2,36.5,Africa,3.3,1.6,5.1
160,Tonga,11.5,60.7,27.9,0.6800000071525574,5944.45263671875,106140.0,85.8,66.4,14.2,0.04,0.32,0.59,1.1,1.23,0.82,0.54,0.95,0.03,0.73,0.67,90.45,93.71,2.0,143.76,104.19,145.7,5.2,1.8,8.8,59.8,33.6,69.8,14.2,7.7,20.9,Western Pacific,2.8,0.7,5.1
161,Trinidad and Tobago,3.3,57.9,37.1,6.880000114440918,29053.333984375,1460180.0,41.3,20.5,58.7,0.07,0.79,1.76,2.58,2.7,2.13,1.38,2.37,0.04,1.87,1.57,246.63,200.65,3.27,314.78,213.1,326.0,6.7,3.7,9.9,50.7,29.2,64.8,58.7,45.6,72.5,Americas,2.8,1.8,3.8
162,Tunisia,23.9,72.2,3.8,1.9900000095367432,11112.853515625,11557779.0,94.8,91.3,5.2,0.04,0.29,0.44,0.81,0.82,0.69,0.23,0.66,0.02,0.35,0.41,53.43,33.65,1.87,79.08,48.62,51.3,0.6,0.2,1.1,21.1,6.3,23.9,5.2,1.6,8.9,Eastern Mediterranean,0.2,0.1,0.3
163,Turkey,8.6,57.6,33.8,2.119999885559082,25958.640625,79646176.0,93.1,89.1,6.9,0.04,0.33,0.56,0.97,0.98,0.81,0.27,0.8,0.03,0.47,0.5,64.78,34.71,2.22,89.88,57.29,69.36,,,,,,,,,,,,,
164,Turkmenistan,35.1,26.8,38.0,5.300000190734863,12993.5322265625,5766427.0,69.6,41.6,30.4,0.1,1.23,2.74,5.35,5.79,3.75,2.2,4.12,0.05,2.6,2.67,412.62,259.11,4.32,639.01,401.59,455.2,5.9,2.1,9.9,45.8,22.3,57.0,30.4,19.0,42.5,Europe,3.3,1.3,5.3
165,Tuvalu,84.7,0.6,14.1,1.9800000190734863,3720.305419921875,10896.0,85.6,66.4,14.4,0.04,0.31,0.74,1.26,1.51,0.84,0.53,1.14,0.03,0.76,0.77,133.67,103.79,2.14,206.23,140.37,164.51,5.3,1.8,8.9,61.1,35.0,71.0,14.4,7.8,21.1,Western Pacific,2.9,0.7,5.2
166,Uganda,0.1,11.0,3.1,15.140000343322754,2067.5888671875,37477356.0,63.7,47.4,36.3,0.06,0.4,0.6,1.48,1.64,1.06,0.87,1.09,0.04,1.14,0.84,78.82,218.49,2.7,134.05,127.97,244.51,7.1,1.9,12.4,56.9,32.6,68.8,36.3,23.8,49.1,Africa,2.5,0.7,4.2
167,Ukraine,5.4,42.3,51.5,10.15999984741211,11216.1181640625,44982568.0,38.2,12.7,61.8,0.08,0.73,3.18,3.56,4.35,2.18,2.09,3.7,0.05,4.17,2.6,967.44,264.86,3.47,1265.76,773.86,1271.76,6.0,1.4,11.5,28.3,13.3,43.1,61.8,56.1,68.7,Europe,2.2,0.5,4.2
168,United Arab Emirates,7.7,10.1,81.9,3.7899999618530273,65267.4140625,8916909.0,81.5,70.6,18.5,0.04,0.3,0.86,1.07,1.08,0.76,0.31,1.0,0.02,0.66,0.57,120.58,47.38,1.6,142.29,78.18,105.28,0.7,0.2,0.8,39.0,13.9,41.7,18.5,7.9,21.7,Eastern Mediterranean,0.3,0.1,0.3
169,United Kingdom,35.7,35.0,22.5,11.210000038146973,45041.05859375,65224368.0,26.6,11.0,73.4,0.13,1.72,3.55,6.32,6.74,5.09,1.21,5.68,0.07,2.63,3.46,431.69,141.52,5.54,689.56,398.18,393.23,,,,,,,,,,,,,
170,United States,18.1,47.0,34.9,9.81999969482422,58540.296875,324607776.0,28.3,9.2,71.7,0.22,1.94,2.59,4.86,4.37,4.7,1.45,3.77,0.14,2.41,2.5,397.15,197.59,9.37,527.95,355.26,530.02,,,,,,,,,,,,,
171,Uruguay,43.7,35.2,21.1,6.989999771118164,22425.830078125,3402820.0,31.1,6.0,68.9,0.11,1.02,1.89,3.12,3.14,2.72,1.47,2.65,0.07,1.91,1.8,264.93,298.21,4.61,307.57,235.56,414.76,6.4,3.4,9.6,32.9,15.6,46.4,68.9,57.6,81.3,Americas,2.7,1.7,3.8
172,Uzbekistan,8.6,34.4,56.9,2.5899999141693115,6401.115234375,30949416.0,79.2,53.9,20.8,0.1,1.08,1.85,3.55,3.57,2.91,1.72,2.75,0.05,1.92,1.82,193.68,174.65,4.32,297.12,191.1,215.76,5.9,2.1,9.9,39.1,16.9,48.6,20.8,12.0,30.1,Europe,3.3,1.3,5.3
173,Vanuatu,25.4,38.5,36.1,2.140000104904175,2915.700439453125,276450.0,86.4,67.6,13.6,0.04,0.31,0.68,1.21,1.47,0.82,0.65,1.12,0.02,0.9,0.79,119.58,125.99,2.0,196.09,142.59,190.33,5.2,1.8,8.8,59.5,33.7,69.1,13.6,7.4,19.9,Western Pacific,2.9,0.7,5.1
174,Venezuela,0.3,69.2,29.2,,,,62.0,27.2,38.0,0.08,0.98,1.66,3.22,3.26,2.68,1.19,2.51,0.04,1.34,1.57,180.84,129.66,3.98,274.97,171.3,173.57,,,,,,,,,,,,,
175,Vietnam,0.8,91.5,7.7,7.860000133514404,6438.259765625,92191400.0,,38.6,,0.06,0.6,1.4,2.31,2.42,1.79,0.56,1.98,0.03,1.42,1.24,176.95,65.57,2.59,243.63,155.55,220.98,,,,,,,,,,,,,
176,Yemen,0.0,89.5,10.5,,,,99.3,99.0,0.7,0.04,0.27,0.35,0.77,0.8,0.64,0.22,0.62,0.02,0.37,0.4,43.64,37.28,1.79,78.55,53.55,64.82,0.4,0.1,0.6,1.9,0.5,2.3,0.7,0.3,1.1,Eastern Mediterranean,0.2,0.1,0.3
177,Zambia,2.7,36.4,0.4,6.889999866485596,3443.55322265625,16248231.0,72.7,58.7,27.3,0.07,0.58,1.16,2.62,2.99,1.74,1.62,1.99,0.04,2.18,1.53,138.2,259.22,2.95,228.41,198.77,362.75,5.5,1.2,9.8,49.3,24.8,60.1,27.3,16.5,38.3,Africa,1.9,0.5,3.3
178,Zimbabwe,1.3,62.8,12.0,4.920000076293945,3707.62255859375,14154937.0,82.4,71.0,17.6,0.08,0.7,1.4,2.94,3.22,2.08,1.3,2.26,0.05,2.36,1.69,145.77,133.17,3.45,241.99,181.07,283.39,6.4,2.0,11.1,50.6,25.5,60.9,17.6,10.0,25.7,Africa,2.2,0.8,3.8
179,Afghanistan,,,,0.209999993443489,2068.265869140625,33753500.0,99.3,99.1,0.7,0.04,0.26,0.35,0.8,0.86,0.64,0.22,0.64,0.02,0.43,0.43,50.72,43.3,1.77,94.73,68.23,86.93,0.4,0.1,0.6,2.0,0.5,2.3,0.7,0.3,1.0,Eastern Mediterranean,0.2,0.1,0.3
180,Bangladesh,,,,0.0209999997168779,3700.11083984375,157830000.0,97.8,92.5,2.2,0.06,0.58,1.09,1.97,2.12,1.52,0.96,1.6,0.03,1.32,1.09,113.58,96.39,3.13,168.6,114.13,145.84,0.8,0.3,1.4,36.8,14.4,43.1,2.2,1.0,3.5,South-East Asia,0.7,0.2,1.2
181,Iran,,,,1.0099999904632568,12698.109375,81790848.0,96.5,96.0,3.5,0.03,0.21,0.37,0.64,0.67,0.51,0.17,0.54,0.02,0.28,0.32,47.47,28.44,1.45,68.83,41.58,45.01,,,,,,,,,,,,,
182,Kuwait,,,,0.003000000026077,54834.390625,3908745.0,99.4,97.9,0.6,0.04,0.28,0.52,0.78,0.82,0.66,0.2,0.69,0.02,0.37,0.41,59.03,28.9,1.61,78.46,46.22,54.29,0.4,0.1,0.6,4.1,1.1,4.8,0.6,0.2,0.8,Eastern Mediterranean,0.2,0.1,0.3
183,Libya,,,,0.0289999991655349,11022.4296875,6192241.0,99.9,99.5,0.1,0.04,0.27,0.51,0.85,0.91,0.67,0.25,0.72,0.02,0.41,0.44,63.27,36.55,1.91,89.1,55.25,62.4,0.3,0.1,0.5,2.1,0.6,2.5,0.1,0.1,0.2,Eastern Mediterranean,0.2,0.1,0.3
184,Mauritania,,,,0.032999999821186,5024.46728515625,3946225.0,99.1,98.0,0.9,0.04,0.24,0.36,0.77,0.84,0.57,0.47,0.6,0.03,0.57,0.45,48.56,105.55,1.81,74.35,65.86,119.84,0.4,0.1,0.7,4.3,1.2,5.3,0.9,0.5,1.4,Africa,0.2,0.0,0.3
185,Pakistan,,,,0.2899999916553497,4278.3466796875,210969296.0,98.8,96.5,1.2,0.05,0.52,1.13,2.2,2.55,1.51,1.39,1.83,0.03,1.95,1.4,148.88,180.45,2.49,243.59,188.59,293.96,0.4,0.1,0.6,5.3,1.5,6.5,1.2,0.6,1.8,Eastern Mediterranean,0.2,0.1,0.3
186,Saudi Arabia,,,,0.2000000029802322,48921.21484375,32749838.0,94.2,93.4,5.8,0.04,0.28,0.56,0.84,0.89,0.69,0.25,0.74,0.02,0.43,0.45,65.98,33.68,1.77,87.55,53.35,63.26,0.3,0.1,0.5,2.9,0.8,3.6,5.8,3.5,7.3,Eastern Mediterranean,0.2,0.1,0.4
187,Somalia,,,,0.0130000002682209,1026.0382080078125,13763909.0,,53.5,,0.06,0.52,0.86,2.15,2.37,1.5,1.23,1.59,0.04,1.55,1.19,109.56,236.18,2.99,190.91,170.64,314.83,0.4,0.1,0.6,6.2,1.7,7.6,31.0,19.4,43.2,Eastern Mediterranean,0.2,0.1,0.3
188,Sudan,,,,0.5199999809265137,4630.1552734375,38171172.0,97.7,95.2,2.3,0.04,0.27,0.36,0.77,0.79,0.64,0.23,0.62,0.02,0.39,0.41,45.16,37.21,1.81,77.83,53.48,65.18,1.3,0.3,2.3,18.1,5.7,22.1,2.3,1.1,3.4,Eastern Mediterranean,0.2,0.1,0.3
189,World,,,,,,,,,,0.06,0.61,1.46,2.3,2.53,1.72,1.25,2.01,0.04,1.86,1.4,220.63,175.11,3.01,289.01,210.09,360.72,,,,,,,,,,,,,
190,Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,2.0,10.7,41.9,19.2,52.7,39.4,25.0,53.8,Africa,2.2,0.8,3.7
191,Côte d’Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.1,15.6,46.6,23.1,56.9,38.5,24.1,52.3,Africa,3.5,1.6,5.3
192,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,9.1,77.1,58.6,86.3,36.4,23.8,49.2,Africa,1.7,0.4,3.1
193,United Republic of Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,2.2,11.5,55.8,32.1,67.8,36.4,24.0,49.3,Africa,2.4,0.9,3.9
194,Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,3.7,9.8,46.5,24.2,58.6,45.4,31.9,59.1,Americas,2.9,1.8,3.9
195,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,10.4,17.6,36.4,18.3,50.0,71.7,60.7,83.0,Americas,7.7,5.5,9.9
196,Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,3.8,10.0,39.5,18.2,50.2,38.0,25.2,51.2,Americas,2.8,1.8,3.9
197,Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.1,1.8,4.1,0.6,4.7,3.5,1.1,6.0,Eastern Mediterranean,0.6,0.1,1.2
198,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.1,1.0,2.0,0.5,2.3,2.0,0.7,3.4,Eastern Mediterranean,0.2,0.0,0.3
199,Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.2,10.3,40.9,21.3,56.0,66.6,54.8,79.6,Europe,3.3,1.4,5.5
200,Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,7.4,36.9,60.6,43.7,78.8,58.1,55.4,61.4,Europe,9.3,3.3,16.5
201,The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.1,9.9,45.8,24.2,58.8,53.7,39.9,67.7,Europe,3.4,1.4,5.5
202,Türkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,1.7,8.1,21.7,6.9,25.9,6.9,3.0,11.0,Europe,1.6,0.7,2.5
203,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,4.7,13.0,40.6,22.0,55.1,73.4,63.0,84.3,Europe,1.4,0.7,2.2
204,Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.0,6.2,33.5,14.2,44.1,40.3,27.7,53.7,South-East Asia,1.4,0.4,2.4
205,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.6,3.0,30.3,11.7,37.7,21.6,12.4,30.6,South-East Asia,0.7,0.2,1.2
206,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,0.7,3.8,30.6,19.4,38.8,33.3,29.1,37.3,Western Pacific,0.8,0.3,1.4
207,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,1.8,8.7,43.8,21.5,55.6,40.0,27.0,53.4,Western Pacific,2.8,0.7,5.0
208,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,1.8,8.6,62.4,36.2,71.8,15.2,8.1,22.0,Western Pacific,2.8,0.7,5.0
209,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,1.8,8.9,,,,,,,Western Pacific,3.0,0.7,5.3
210,Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,6.8,21.2,47.7,26.6,62.2,63.9,51.2,77.0,Western Pacific,5.5,3.4,7.7
211,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,1.2,9.8,39.3,17.7,50.2,99.4,23.9,50.0,Western Pacific,2.9,0.1,5.9
212,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa,,,
213,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,
214,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,
215,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Pacific,,,
